k1;k2;k3;k4;;
1,894656044;1,844229553;1,82124197;1,69209094;;
2,035104863;1,981220257;1,780365955;1,609909368;;
1,836683808;1,965398908;1,968197396;1,797046104;;
1,758488752;1,976148474;1,720805276;1,835963997;;
1,896443002;1,944613467;2,047893394;1,8405018;;
2,051304298;1,824641932;1,80430787;1,786024984;;
1,930460722;1,957815295;1,893379841;1,895143487;;
2,035680537;1,848552536;1,769014054;1,657864794;;
1,983076527;1,945198164;1,767307107;1,765553159;;
1,761975142;1,824868907;1,849118642;1,834984944;;
2,093155484;1,756701415;1,717271834;1,795524198;;
1,930517156;2,013946361;1,829127853;1,887226058;;
1,948377544;1,974463756;1,912640866;1,884137696;;
1,832960279;1,906127174;1,913826833;1,775777625;;
1,989761751;2,014579012;1,959316749;1,783763373;;
1,972389508;1,859771738;1,776784289;1,699141343;;
1,841029827;2,024441077;1,793358101;1,820692491;;
1,961885859;1,816304137;1,797766758;1,893076621;;
1,865249639;1,924673699;1,832311031;1,801972817;;
2,006342794;1,967500527;1,90678409;1,992965288;;
1,692132971;1,924120442;1,628838025;1,65399193;;
1,965427531;1,91762624;1,733248827;1,858018284;;
1,950030369;1,940397525;1,914858947;1,81928012;;
1,949966414;1,999329748;1,722384836;1,906327432;;
1,987835529;1,922063711;1,733296183;1,993635099;;
1,808290202;1,943295688;1,904612905;2,041000196;;
1,886484997;1,936420491;1,828104499;1,673942458;;
1,875605116;1,856741751;1,842692554;1,941566794;;
1,888124752;2,066166075;1,848792869;1,859946593;;
1,932835188;1,918224292;2,081438823;1,928138278;;
1,789159682;1,90071269;2,003865158;1,897066869;;
2,001010183;1,790104375;1,721828168;1,565377512;;
1,874537282;1,771904571;1,759356602;1,739287513;;
1,96974932;1,952430065;1,840765365;1,964143483;;
2,033286701;1,920933538;1,807762384;1,863506378;;
1,935411837;2,060382695;1,854763535;1,794678388;;
1,937722065;1,89874012;1,849590958;1,870281987;;
2,029352944;1,865935766;1,675737694;1,807129195;;
1,927048596;1,95707892;1,801279207;1,85075505;;
1,781832741;1,846198506;1,884992165;1,884704008;;
1,927625492;1,826957189;1,758444841;1,857992813;;
1,923004573;1,988955406;1,770886752;1,907941749;;
1,920604626;1,909358824;1,838098017;1,787087697;;
1,817008141;2,041182771;1,91350046;1,938865313;;
1,998486007;1,993165108;1,739990008;1,731543579;;
1,790730701;2,127923072;1,817806258;1,70475321;;
1,993078292;1,956266816;1,869613976;1,87737245;;
1,985810805;1,7555279;1,701994048;1,90272051;;
2,047837862;1,861260203;1,762190591;1,775145904;;
1,838167803;2,027731357;1,746680941;1,638003884;;
2,030138509;1,832160846;1,799778775;1,837940753;;
1,826813315;2,090199974;1,893918525;1,737127021;;
1,921161316;1,989748988;1,854062845;1,558755464;;
1,754027894;1,907175301;1,813987298;1,724866254;;
1,811327074;1,913096276;1,789560831;1,908023264;;
1,7948108;2,023762012;1,912067224;1,877538405;;
1,986863974;1,65550357;1,758318511;1,643827347;;
1,927864629;2,006034923;1,984950768;1,883072259;;
1,90628566;1,939672251;1,876828605;1,739702252;;
1,743425407;2,003157102;1,874920818;1,867872694;;
1,998169759;1,81252977;1,772586356;1,881189205;;
